checkpoint path: checkpoints/ic15_resnet50_bs_8_ep_60
init lr: 0.00100000
schedule:  [20, 40]
Training from scratch.

Epoch: [1 | 60] LR: 0.001000
/home/zhangyangsong/env1/lib/python3.6/site-packages/torch/nn/functional.py:2416: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/zhangyangsong/env1/lib/python3.6/site-packages/torch/nn/functional.py:2506: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
(561/1250) Batch: 1.074s | TOTAL: 10min | ETA: 12min | Loss: 0.3034 | Acc_t:  0.8493 | IOU_t:  0.7618 | IOU_k:  0.7625
(581/1250) Batch: 1.074s | TOTAL: 10min | ETA: 12min | Loss: 0.3031 | Acc_t:  0.8494 | IOU_t:  0.7620 | IOU_k:  0.7630
(601/1250) Batch: 1.074s | TOTAL: 11min | ETA: 12min | Loss: 0.3047 | Acc_t:  0.8494 | IOU_t:  0.7622 | IOU_k:  0.7629
(621/1250) Batch: 1.074s | TOTAL: 11min | ETA: 11min | Loss: 0.3043 | Acc_t:  0.8493 | IOU_t:  0.7621 | IOU_k:  0.7623
(641/1250) Batch: 1.074s | TOTAL: 11min | ETA: 11min | Loss: 0.3039 | Acc_t:  0.8497 | IOU_t:  0.7624 | IOU_k:  0.7626
(661/1250) Batch: 1.073s | TOTAL: 12min | ETA: 11min | Loss: 0.3035 | Acc_t:  0.8494 | IOU_t:  0.7627 | IOU_k:  0.7625
(681/1250) Batch: 1.073s | TOTAL: 12min | ETA: 10min | Loss: 0.3028 | Acc_t:  0.8497 | IOU_t:  0.7631 | IOU_k:  0.7630
(701/1250) Batch: 1.073s | TOTAL: 13min | ETA: 10min | Loss: 0.3027 | Acc_t:  0.8503 | IOU_t:  0.7636 | IOU_k:  0.7637
(721/1250) Batch: 1.073s | TOTAL: 13min | ETA: 9min | Loss: 0.3023 | Acc_t:  0.8503 | IOU_t:  0.7636 | IOU_k:  0.7638
(741/1250) Batch: 1.073s | TOTAL: 13min | ETA: 9min | Loss: 0.3024 | Acc_t:  0.8501 | IOU_t:  0.7637 | IOU_k:  0.7643
(761/1250) Batch: 1.072s | TOTAL: 14min | ETA: 9min | Loss: 0.3009 | Acc_t:  0.8505 | IOU_t:  0.7645 | IOU_k:  0.7651
(781/1250) Batch: 1.072s | TOTAL: 14min | ETA: 8min | Loss: 0.3011 | Acc_t:  0.8512 | IOU_t:  0.7651 | IOU_k:  0.7662
(801/1250) Batch: 1.072s | TOTAL: 14min | ETA: 8min | Loss: 0.3011 | Acc_t:  0.8514 | IOU_t:  0.7653 | IOU_k:  0.7671
(821/1250) Batch: 1.072s | TOTAL: 15min | ETA: 8min | Loss: 0.3016 | Acc_t:  0.8518 | IOU_t:  0.7656 | IOU_k:  0.7677
(841/1250) Batch: 1.071s | TOTAL: 15min | ETA: 7min | Loss: 0.3019 | Acc_t:  0.8518 | IOU_t:  0.7658 | IOU_k:  0.7681
(861/1250) Batch: 1.071s | TOTAL: 15min | ETA: 7min | Loss: 0.3019 | Acc_t:  0.8524 | IOU_t:  0.7666 | IOU_k:  0.7695
(881/1250) Batch: 1.071s | TOTAL: 16min | ETA: 7min | Loss: 0.3019 | Acc_t:  0.8527 | IOU_t:  0.7669 | IOU_k:  0.7699
(901/1250) Batch: 1.071s | TOTAL: 16min | ETA: 6min | Loss: 0.3011 | Acc_t:  0.8526 | IOU_t:  0.7671 | IOU_k:  0.7700
(921/1250) Batch: 1.071s | TOTAL: 16min | ETA: 6min | Loss: 0.3005 | Acc_t:  0.8531 | IOU_t:  0.7678 | IOU_k:  0.7706
(941/1250) Batch: 1.071s | TOTAL: 17min | ETA: 6min | Loss: 0.3000 | Acc_t:  0.8527 | IOU_t:  0.7678 | IOU_k:  0.7703
(961/1250) Batch: 1.071s | TOTAL: 17min | ETA: 5min | Loss: 0.2994 | Acc_t:  0.8532 | IOU_t:  0.7683 | IOU_k:  0.7709
(981/1250) Batch: 1.071s | TOTAL: 17min | ETA: 5min | Loss: 0.2997 | Acc_t:  0.8532 | IOU_t:  0.7682 | IOU_k:  0.7711
(1001/1250) Batch: 1.071s | TOTAL: 18min | ETA: 4min | Loss: 0.2990 | Acc_t:  0.8535 | IOU_t:  0.7684 | IOU_k:  0.7716
(1021/1250) Batch: 1.071s | TOTAL: 18min | ETA: 4min | Loss: 0.2996 | Acc_t:  0.8536 | IOU_t:  0.7688 | IOU_k:  0.7720
(1041/1250) Batch: 1.071s | TOTAL: 19min | ETA: 4min | Loss: 0.2992 | Acc_t:  0.8532 | IOU_t:  0.7686 | IOU_k:  0.7717
(1061/1250) Batch: 1.071s | TOTAL: 19min | ETA: 3min | Loss: 0.2989 | Acc_t:  0.8534 | IOU_t:  0.7688 | IOU_k:  0.7718
(1081/1250) Batch: 1.071s | TOTAL: 19min | ETA: 3min | Loss: 0.2988 | Acc_t:  0.8540 | IOU_t:  0.7691 | IOU_k:  0.7726
(1101/1250) Batch: 1.071s | TOTAL: 20min | ETA: 3min | Loss: 0.2999 | Acc_t:  0.8537 | IOU_t:  0.7688 | IOU_k:  0.7727
(1121/1250) Batch: 1.071s | TOTAL: 20min | ETA: 2min | Loss: 0.3000 | Acc_t:  0.8538 | IOU_t:  0.7692 | IOU_k:  0.7730
(1141/1250) Batch: 1.071s | TOTAL: 20min | ETA: 2min | Loss: 0.3000 | Acc_t:  0.8540 | IOU_t:  0.7695 | IOU_k:  0.7733
(1161/1250) Batch: 1.071s | TOTAL: 21min | ETA: 2min | Loss: 0.3000 | Acc_t:  0.8538 | IOU_t:  0.7691 | IOU_k:  0.7735
(1181/1250) Batch: 1.071s | TOTAL: 21min | ETA: 1min | Loss: 0.2993 | Acc_t:  0.8540 | IOU_t:  0.7696 | IOU_k:  0.7741
(1201/1250) Batch: 1.071s | TOTAL: 21min | ETA: 1min | Loss: 0.2987 | Acc_t:  0.8541 | IOU_t:  0.7699 | IOU_k:  0.7746
(1221/1250) Batch: 1.071s | TOTAL: 22min | ETA: 1min | Loss: 0.2981 | Acc_t:  0.8545 | IOU_t:  0.7703 | IOU_k:  0.7753
(1241/1250) Batch: 1.071s | TOTAL: 22min | ETA: 0min | Loss: 0.2978 | Acc_t:  0.8550 | IOU_t:  0.7709 | IOU_k:  0.7759

Epoch: [3 | 60] LR: 0.001000
(1/1250) Batch: 3.977s | TOTAL: 0min | ETA: 83min | Loss: 0.2370 | Acc_t:  0.9154 | IOU_t:  0.8833 | IOU_k:  0.8775
(21/1250) Batch: 1.210s | TOTAL: 0min | ETA: 25min | Loss: 0.2173 | Acc_t:  0.8712 | IOU_t:  0.8022 | IOU_k:  0.8025
(41/1250) Batch: 1.142s | TOTAL: 1min | ETA: 23min | Loss: 0.2440 | Acc_t:  0.8615 | IOU_t:  0.7902 | IOU_k:  0.7997
(61/1250) Batch: 1.120s | TOTAL: 1min | ETA: 22min | Loss: 0.2441 | Acc_t:  0.8710 | IOU_t:  0.7979 | IOU_k:  0.8062
(81/1250) Batch: 1.106s | TOTAL: 1min | ETA: 22min | Loss: 0.2515 | Acc_t:  0.8758 | IOU_t:  0.8010 | IOU_k:  0.8081
(101/1250) Batch: 1.098s | TOTAL: 2min | ETA: 21min | Loss: 0.2623 | Acc_t:  0.8739 | IOU_t:  0.8000 | IOU_k:  0.8069
(121/1250) Batch: 1.094s | TOTAL: 2min | ETA: 21min | Loss: 0.2582 | Acc_t:  0.8734 | IOU_t:  0.8022 | IOU_k:  0.8072
(141/1250) Batch: 1.089s | TOTAL: 3min | ETA: 20min | Loss: 0.2667 | Acc_t:  0.8726 | IOU_t:  0.8026 | IOU_k:  0.8050
